,encounter,is_cm,is_success,time,player,profession,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,stack_dist,downed,dead_duration,cleanses,above90%,log
4,Xera,False,True,269.0,Cry Me A River.8275,Daredevil,12945,17.811,93.562,62.88,93.321,41.756,0.0,17.308,0.0,0.0,0.0,44605,568.2758178710938,0,0.0,23,100.0,"https://dps.report/lRNq-20231203-181106_xera
"
7,Xera,False,True,269.0,DARKstrider.9245,Scourge,9101,21.026,99.487,77.675,85.675,57.846,4.612,0.0,0.0,59.28,49.821,68099,421.24285888671875,0,0.0,71,100.0,"https://dps.report/lRNq-20231203-181106_xera
"
8,Xera,False,True,269.0,Montgomery.1624,Reaper,14629,20.561,79.29,81.04,72.012,43.641,0.16,0.0,0.0,0.0,0.0,52934,823.850830078125,0,0.0,0,100.0,"https://dps.report/lRNq-20231203-181106_xera
"
9,Xera,False,True,269.0,MonTheR.2460,Scourge,14578,21.346,99.245,81.271,79.543,66.975,2.176,0.0,0.0,0.0,0.0,69246,433.7427673339844,0,0.0,27,100.0,"https://dps.report/lRNq-20231203-181106_xera
"
0,Keep Construct CM,True,True,328.0,Sashyca.8172,Scourge,5671,17.769,94.737,82.555,96.798,59.482,6.936,0.0,0.0,69.741,36.863,195068,319.0191650390625,0,0.0,113,84.27065026362038,"https://dps.report/abqX-20231203-180219_kc
"
1,Keep Construct CM,True,True,328.0,MrCamonkill.6419,Scourge,23760,17.312,99.81,91.166,82.202,44.426,4.787,0.0,0.0,0.0,0.0,235928,230.40081787109375,2,0.0,39,74.66814159292035,"https://dps.report/abqX-20231203-180219_kc
"
2,Keep Construct CM,True,True,328.0,Nopiki.8352,Vindicator,27987,19.297,98.103,96.924,97.757,67.07,0.209,0.0,0.0,0.0,0.0,259931,199.74050903320312,2,0.0,1,79.47019867549669,"https://dps.report/abqX-20231203-180219_kc
"
3,Keep Construct CM,True,True,328.0,Expertus.5746,Scrapper,28084,21.17,95.628,86.893,96.818,59.328,0.27,33.142,78.613,0.0,0.0,342820,179.5428466796875,1,0.0,8,90.35743973399833,"https://dps.report/abqX-20231203-180219_kc
"
4,Keep Construct CM,True,True,328.0,Cry Me A River.8275,Daredevil,19642,15.943,97.063,82.667,91.29,45.788,0.0,24.038,0.0,0.0,0.0,244696,247.9116973876953,3,0.0,2,83.95989974937343,"https://dps.report/abqX-20231203-180219_kc
"
5,Keep Construct CM,True,True,328.0,Derok.9834,Firebrand,17253,21.528,99.576,99.705,99.683,75.796,4.413,42.85,72.24,0.0,0.241,208789,212.7911376953125,0,0.0,107,80.58925476603119,"https://dps.report/abqX-20231203-180219_kc
"
