player,role_simp,dps_mean,quick_out_mean,alac_out_mean,boon_out_mean,score,score_boon
Alecssu.1035,dps,-0.3941819525412745,-0.19075274376953585,-0.10487592327267774,-0.80331198486838,-19.216362389023395,-19.72404570684956
AlnSedai.2793,boon_dps,0.8227718423983221,-0.44643165288006015,-0.6785664023588357,-2.2879205336441406,-8.731159200723615,-29.66376381201802
AlnSedai.2793,dps,-0.3070300766167127,0.4396195520299185,-0.21571833928421527,0.1649509063559435,-14.513542464856508,-14.572492771246267
Arikashin.2675,dps,-0.5167173919666443,-0.18293691835444303,-0.21327917116584633,1.1969087915845307,-25.19865090391922,-23.6055260228144
Asgaard.1738,dps,0.31497811970517936,-0.16211572773975888,-0.20166087196071733,-0.49474241035950317,14.755173146148135,14.624207335489107
Bates.2407,dps,-1.3638444354922161,-0.04223233881540731,-0.21057476412521822,-0.0037222629687659018,-65.717340006567,-65.46825516659514
Bris.7984,dps,-2.5691079949738547,-0.16867241442248276,-0.1655340388520669,-0.790812971902945,-123.65139021201958,-124.10799673064797
Cry Me A River.8275,dps,-1.109729346738793,-0.1820149866634755,-0.2328316906972813,0.9789788490244579,-53.68185532082282,-52.288029794437605
Csegavara.8950,dps,-0.8343629923382595,-0.16102294662597158,-0.2190203859795766,0.5117119252106952,-40.429466964842,-39.53771170702576
DARKstrider.3729,dps,-0.4983868406856649,-0.05100127247085707,-0.2065680542969326,1.0421009069966312,-24.180137679679707,-22.880467445915286
DARKstrider.4250,boon_dps,-0.6493115440860795,0.5535031097885399,0.4338652057352496,1.035400986247315,8.682268062223098,9.546856135246555
DARKstrider.7804,boon_dps,-2.0251736246965004,-3.250517404125872,3.1165414443803883,-2.406560238184162,-30.763998021169726,-71.67051503306593
DARKstrider.7804,dps,-0.552127235329828,-0.18979847233909866,-0.21370016973669687,0.42485455414760065,-26.905605937907538,-26.07725274168414
DARKstrider.7804,heal,-0.10258363750885681,-0.36871277047035583,-0.030795845689465313,0.2819587777947096,-9.79337406285342,6.561843392055317
DARKstrider.8702,boon_dps,-0.9924764327007153,0.31379786149458266,-0.6434405739693803,0.11302464840511695,-19.828238882356374,-11.860226386517908
DARKstrider.9245,boon_dps,-1.054143440454238,-1.7635758821068868,1.8542876486012219,-1.2565783695033044,-13.1251963694613,-37.37641881741881
DARKstrider.9245,heal,0.8086118778838323,0.013172054838755654,-0.4806122966657115,-0.8301204447597484,-9.601342048079276,-18.305666918466297
DavidBG.6194,dps,-0.3167456767844312,-0.183176000515909,-0.1638017598554494,-0.8170173826003234,-15.550770246024056,-16.02080986825302
Derok.9834,boon_dps,-0.6347879077735106,0.14233526644352282,-0.6343727561043615,0.5556612472813359,-17.74370552272424,1.1148717422348984
Dova.4213,dps,-0.8969391271044073,0.05291288218907008,-0.11822757789826209,-0.3496291961927616,-43.11839279672074,-43.40270729720431
Expertus.5746,boon_dps,1.0975605131564772,0.5509316966372746,0.024084821885244887,0.689501337986717,25.71614451759603,27.776871267951584
GoGo.8725,dps,-0.4093054211928681,0.28981204948047773,0.2193728885539665,-0.09941102078455986,-19.137475279223224,-19.74607123804223
GoGo.8725,heal,-0.5440521374683963,-0.312019598701582,-0.8434909351299724,-1.6738145408793792,-28.8203570868941,-41.259653256041894
Hea.8675,boon_dps,0.1305869189011391,0.005102679037837079,-0.6692922945213364,-0.16258337515684487,-10.127196214087041,-1.09828388820726
Hea.8675,dps,0.15955756167418508,0.09929424773203185,0.0027755141544733063,-0.6583651607727287,7.760832722247389,7.000397799588155
Hea.8675,heal,-0.8040585184923985,2.929987045496584,-2.1532406977213796,-0.05285151449054661,17.033795309620103,-2.8765533847579157
Hotsy.3850,dps,-0.5146450811181364,-0.18875616330994857,-0.2104601789152684,0.1608974899199187,-25.10218023589577,-24.54206640375063
I Know You Want Me.4627,dps,-0.18854716026640705,-0.125,-0.125,0.5495251615848311,-9.300263692787539,-8.500738531202707
I Know You Want Me.4627,heal,0.22242636282619604,-0.312019598701582,-0.9743613367546607,-1.7675475953196804,-30.428289725297436,-41.97628956201994
Irda.4105,boon_dps,-0.16824468255230074,0.44908735092939217,0.06969165693655022,-0.0419097020169696,6.982596585854752,-3.109800192037663
Keesh.5960,boon_dps,0.26676088346952687,0.23069340229715277,-0.41533454495943656,0.36788895818133316,0.41111180065226804,10.356653615837374
KingHenne.9837,dps,0.7395806785379617,-0.19541184451308846,-0.22438089075101475,0.001470549795058923,35.080079834558056,35.50134311961722
LeoLightsol.6905,boon_dps,0.5437982444742909,-3.2402379887144677,-1.0727160210339748,-2.317214066945582,-70.01999675283189,-34.0966777823804
